Chapter,Date,Name,Completion L,Completion G,Completion C,Route,Choice 1,Choice 1 L,Choice 1 G,Choice 1 C,Choice 2,Choice 2 L,Choice 2 G,Choice 2 C,Choice 3,Choice 3 L,Choice 3 G,Choice 3 C
1,September 6,Investigate a Friend Who Stole,1,1,0,,Confess to the store and return the money (L),5,0,0,Return the money without telling the store (G),0,5,0,,,,
1,September 6,Request to Transport and Attache Case,0,1,1,,,,,,,,,,,,,
1,September 6,Underground Monster Clean-Up (1),1,1,0,,,,,,,,,,,,,
1,September 6,Purse that Flowed to the Black Market,1,1,0,,,,,,,,,,,,,
1,September 7,Soba Recipe,1,0,0,,,,,,,,,,,,,
1,September 7,Reclaim the Stolen Bicycle,1,1,0,,Hand him over to the authorities (L),5,0,0,Work to reimburse (G),0,5,0,,,,
1,September 7,Search for Annie’s cat,1,0,0,,,,,,,,,,,,,
2,September 19,Search for My Separated Sister,1,1,0,,Hand over to the police (L),5,0,0,Find his weakness and threaten him (C),0,0,5,,,,
2,September 19,Request to Erase Extortion Material,0,1,1,,,,,,,,,,,,,
2,September 19,Seiden District Waterworks Monster Clean-Up (1),1,1,0,,,,,,,,,,,,,
2,September 19,Returning a Lost Item,1,0,1,,Convince him legitimately (L),5,0,0,Deliberately act cold (G),0,5,0,,,,
2,September 20,Consult About a certain Luggage,1,1,0,,Persuade them (G),0,5,0,Fight them (C),0,0,5,,,,
2,September 20,Ensuring the Safety of Sea Cave Tours,1,1,0,,,,,,,,,,,,,
2,September 20,Eastern Quarter Tour Guide,1,0,0,,,,,,,,,,,,,
2,September 20,Healthy Martial Arts Lesson,1,0,0,,,,,,,,,,,,,
2,September 20,Investigate the Expert Cheaters,0,1,1,,Hand over to the Guild (L),5,0,0,Hand over to the police (G),0,5,0,Hand over to the Heiyhue (C),0,0,5
2,September 21,True Extermination of the Sea Cave Monster,1,1,0,,,,,,,,,,,,,
3,October 3,He Who Went Missing,1,1,0,,Hand over the letter and report the situation (L),5,0,0,Lie and don’t give her the letter (G),0,5,0,,,,
3,October 3,Mystery Game Tester,1,0,0,,,,,,,,,,,,,
3,October 3,Return a Certain Item,0,1,1,,Meet as the thief himself (L),5,0,0,Meet in disguise (G),0,5,0,,,,
3,October 3,Exterminate the Memorial Park Monster,1,1,0,,,,,,,,,,,,,
3,October 3,Girl’s Lost Item,1,1,0,,,,,,,,,,,,,
3,October 5,Bazaar Pickpocket Girl,1,1,0,,Suggest the church look after her (L),5,0,0,Hand her over to the manager (G),0,5,0,,,,
3,October 5,Invalid Hush Money,1,0,1,,Ensure the safety of the client (L),5,0,0,Prioritize securing the fake police officer (C),0,0,5,,,,
3,October 5,Search for Stray Camel,1,0,0,,,,,,,,,,,,,
3,October 5,Fake Bracer? Chase After Them,0,1,1,,,,,,,,,,,,,
3,October 6,Scouting for Additional Cast Members,1,0,0,,,,,,,,,,,,,
